month,region,branch_id,apps_units,approvals_units,pipeline_dollars
2023-11,East Texas,HOU-B04,20,14,4791969.15
2023-11,East Texas,HOU-B04,35,23,8786607.36
2023-11,East Texas,HOU-B04,40,32,10751359.02
2023-11,East Texas,HOU-B05,30,17,7610904.83
2023-11,East Texas,HOU-B05,37,26,9268025.4
2023-11,East Texas,HOU-B05,41,27,10467178.86
2023-11,East Texas,HOU-B06,33,23,8807387.86
2023-11,East Texas,HOU-B06,38,31,9678848.43
2023-11,East Texas,HOU-B06,35,22,8808127.51
2023-11,East Texas,HOU-B07,34,19,8731091.77
2023-11,East Texas,HOU-B07,49,39,12819399.7
2023-11,East Texas,HOU-B07,48,30,12241777.48
2023-11,East Texas,HOU-B08,45,35,10994353.94
2023-11,East Texas,HOU-B08,39,25,9786606.14
2023-11,East Texas,HOU-B08,33,27,8556751.45
2023-11,East Texas,HOU-B09,37,28,9575237.95
2023-11,East Texas,HOU-B09,35,28,8823254.46
2023-11,East Texas,HOU-B09,53,34,13258905.63
2023-11,East Texas,HOU-B10,37,20,9502776.51
2023-11,East Texas,HOU-B10,43,35,10705230.79
2023-11,East Texas,HOU-B10,59,40,15252787.18
2023-11,West Texas,WTX-B01,29,21,6968308.24
2023-11,West Texas,WTX-B01,47,36,12000813.09
2023-11,West Texas,WTX-B01,39,22,9470056.64
2023-11,West Texas,WTX-B02,19,15,5019105.59
2023-11,West Texas,WTX-B02,31,18,7670296.31
2023-11,West Texas,WTX-B02,46,26,11999700.13
2023-11,West Texas,WTX-B03,42,24,10329667.09
2023-11,West Texas,WTX-B03,45,25,11564114.97
2023-11,West Texas,WTX-B03,25,19,5968507.25
2023-11,West Texas,WTX-B04,33,18,8609069.4
2023-11,West Texas,WTX-B04,43,29,11257522.54
2023-11,West Texas,WTX-B04,36,24,8998685.91
2023-11,West Texas,WTX-B05,43,33,10465432.56
2023-11,West Texas,WTX-B05,44,29,11031283.3
2023-11,West Texas,WTX-B05,46,28,11352350.87
2023-11,West Texas,WTX-B06,40,33,10314721.38
2023-11,West Texas,WTX-B06,40,33,9752636.87
2023-11,West Texas,WTX-B06,62,47,15701488.44
2023-11,West Texas,WTX-B07,61,44,14875534.39
2023-11,West Texas,WTX-B07,38,27,9796797.97
2023-11,West Texas,WTX-B07,31,21,7601350.62
2023-11,West Texas,WTX-B08,50,28,11775947.47
2023-11,West Texas,WTX-B08,43,27,11395402.77
2023-11,West Texas,WTX-B08,45,26,11599388.58
2023-11,West Texas,WTX-B09,26,21,6880943.42
2023-11,West Texas,WTX-B09,39,30,9661946.99
2023-11,West Texas,WTX-B09,22,18,5738281.54
2023-11,West Texas,WTX-B10,42,29,10593650.94
2023-11,West Texas,WTX-B10,24,13,5884920.0
2023-11,West Texas,WTX-B10,42,35,10601589.03
2023-12,South Texas,SATX-B01,40,31,10015033.79
2023-12,South Texas,SATX-B01,36,21,8539452.44
2023-12,South Texas,SATX-B01,41,25,10418735.94
2023-12,South Texas,SATX-B02,50,32,13116548.4
2023-12,South Texas,SATX-B02,43,30,10492520.63
2023-12,South Texas,SATX-B02,41,33,10758814.22
2023-12,South Texas,SATX-B03,60,48,15842563.6
2023-12,South Texas,SATX-B03,29,16,7187570.09
2023-12,South Texas,SATX-B03,46,35,12003656.41
2023-12,South Texas,SATX-B04,35,19,8654153.58
2023-12,South Texas,SATX-B04,50,33,11796504.21
2023-12,South Texas,SATX-B04,48,31,11947362.12
2023-12,South Texas,SATX-B05,55,36,13782601.7
2023-12,South Texas,SATX-B05,49,40,12379634.62
2023-12,South Texas,SATX-B05,22,15,5490223.6
2023-12,South Texas,SATX-B06,39,25,9875773.23
2023-12,South Texas,SATX-B06,26,14,6639291.89
2023-12,South Texas,SATX-B06,28,18,7109238.81
2023-12,South Texas,SATX-B07,39,29,10048004.4
2023-12,South Texas,SATX-B07,35,19,8616812.02
2023-12,South Texas,SATX-B07,34,20,8284338.59
2023-12,South Texas,SATX-B08,25,16,6211693.44
2023-12,South Texas,SATX-B08,59,33,14766644.4
2023-12,South Texas,SATX-B08,45,25,11683668.63
2023-12,South Texas,SATX-B09,38,30,9432825.24
2023-12,South Texas,SATX-B09,32,19,8148353.13
2023-12,South Texas,SATX-B09,37,27,8568631.34
2023-12,South Texas,SATX-B10,33,25,7671277.67
2023-12,South Texas,SATX-B10,45,31,11362050.06
2023-12,South Texas,SATX-B10,30,20,7519075.79
2023-12,Central Texas,ATX-B01,23,14,5787437.31
2023-12,Central Texas,ATX-B01,38,24,9485471.57
2023-12,Central Texas,ATX-B01,33,19,7964471.33
2023-12,Central Texas,ATX-B02,42,31,10805949.55
2023-12,Central Texas,ATX-B02,39,22,10211742.57
2023-12,Central Texas,ATX-B02,63,48,16261324.48
2023-12,Central Texas,ATX-B03,29,18,7205841.43
2023-12,Central Texas,ATX-B03,53,38,12694708.7
2023-12,Central Texas,ATX-B03,26,15,6617097.6
2023-12,Central Texas,ATX-B04,35,20,8574721.98
2023-12,Central Texas,ATX-B04,34,20,8264994.51
2023-12,Central Texas,ATX-B04,14,11,3576679.93
2023-12,Central Texas,ATX-B05,37,31,8981361.16
2023-12,Central Texas,ATX-B05,42,26,10591922.01
2023-12,Central Texas,ATX-B05,45,37,10898080.11
2023-12,Central Texas,ATX-B06,60,38,15777413.83
2023-12,Central Texas,ATX-B06,33,21,8400638.05
2023-12,Central Texas,ATX-B06,42,26,9579039.17
2023-12,Central Texas,ATX-B07,42,26,10196149.61
2023-12,Central Texas,ATX-B07,28,19,7059974.36
2023-12,Central Texas,ATX-B07,33,21,8262513.25
2023-12,Central Texas,ATX-B08,33,24,8450706.29
2023-12,Central Texas,ATX-B08,45,31,11768964.7
2023-12,Central Texas,ATX-B08,22,18,5318257.28
2023-12,Central Texas,ATX-B09,43,35,10542229.1
2023-12,Central Texas,ATX-B09,44,35,11556207.2
2023-12,Central Texas,ATX-B09,43,26,10608314.32
2023-12,Central Texas,ATX-B10,36,28,8908111.58
2023-12,Central Texas,ATX-B10,42,27,11197334.67
2023-12,Central Texas,ATX-B10,37,29,9530494.61
2023-12,North Texas,DFW-B01,19,13,4596770.88
2023-12,North Texas,DFW-B01,50,35,12162582.02
2023-12,North Texas,DFW-B01,43,28,10674629.42
2023-12,North Texas,DFW-B02,48,35,12036718.25
2023-12,North Texas,DFW-B02,25,14,6478750.81
2023-12,North Texas,DFW-B02,45,31,11699037.74
2023-12,North Texas,DFW-B03,41,24,10331416.35
2023-12,North Texas,DFW-B03,29,22,7060455.67
2023-12,North Texas,DFW-B03,40,31,9847149.62
2023-12,North Texas,DFW-B04,36,28,9238791.94
2023-12,North Texas,DFW-B04,37,29,8960285.94
2023-12,North Texas,DFW-B04,35,26,8595259.18
2023-12,North Texas,DFW-B05,48,36,12520564.94
2023-12,North Texas,DFW-B05,23,15,5801697.44
2023-12,North Texas,DFW-B05,22,15,5763303.8
2023-12,North Texas,DFW-B06,41,30,11117091.48
2023-12,North Texas,DFW-B06,41,31,10488051.45
2023-12,North Texas,DFW-B06,42,25,10648551.2
2023-12,North Texas,DFW-B07,58,39,15124274.9
2023-12,North Texas,DFW-B07,41,33,10282831.31
2023-12,North Texas,DFW-B07,30,25,7469811.14
2023-12,North Texas,DFW-B08,65,43,16522455.39
2023-12,North Texas,DFW-B08,38,30,9370228.15
2023-12,North Texas,DFW-B08,48,39,11108836.85
2023-12,North Texas,DFW-B09,27,20,6470262.99
2023-12,North Texas,DFW-B09,24,16,5949938.85
2023-12,North Texas,DFW-B09,37,25,9169273.82
2023-12,North Texas,DFW-B10,48,31,11939629.86
2023-12,North Texas,DFW-B10,58,32,15022726.17
2023-12,North Texas,DFW-B10,29,24,7369867.28
2023-12,East Texas,HOU-B01,37,21,8922468.33
2023-12,East Texas,HOU-B01,40,29,10050641.91
2023-12,East Texas,HOU-B01,40,24,9992279.97
2023-12,East Texas,HOU-B02,38,23,9547131.13
2023-12,East Texas,HOU-B02,39,28,9580451.47
2023-12,East Texas,HOU-B02,53,36,12122435.02
2023-12,East Texas,HOU-B03,52,31,12137469.66
2023-12,East Texas,HOU-B03,42,35,10414380.05
2023-12,East Texas,HOU-B03,25,18,6094436.66
2023-12,East Texas,HOU-B04,36,21,8979958.13
2023-12,East Texas,HOU-B04,49,27,12748449.6
2023-12,East Texas,HOU-B04,32,24,7813551.32
2023-12,East Texas,HOU-B05,34,25,8633109.88
2023-12,East Texas,HOU-B05,36,22,8933985.78
2023-12,East Texas,HOU-B05,47,37,11917043.01
2023-12,East Texas,HOU-B06,56,34,13548823.96
2023-12,East Texas,HOU-B06,45,24,11138563.28
2023-12,East Texas,HOU-B06,23,18,6074702.4
2023-12,East Texas,HOU-B07,34,21,8785330.51
2023-12,East Texas,HOU-B07,53,33,12506682.61
2023-12,East Texas,HOU-B07,27,19,7129035.54
2023-12,East Texas,HOU-B08,22,18,5404093.69
2023-12,East Texas,HOU-B08,34,27,8608565.02
2023-12,East Texas,HOU-B08,49,38,12237864.37
2023-12,East Texas,HOU-B09,36,22,8983599.66
2023-12,East Texas,HOU-B09,61,38,15578061.55
2023-12,East Texas,HOU-B09,41,34,10189653.47
2023-12,East Texas,HOU-B10,27,17,6771776.56
2023-12,East Texas,HOU-B10,41,25,9929093.73
2023-12,East Texas,HOU-B10,60,47,15344443.96
2023-12,West Texas,WTX-B01,42,30,10830184.17
2023-12,West Texas,WTX-B01,29,23,7368388.76
2023-12,West Texas,WTX-B01,21,14,5035031.07
2023-12,West Texas,WTX-B02,36,26,9057184.81
2023-12,West Texas,WTX-B02,33,21,7878641.47
2023-12,West Texas,WTX-B02,53,33,12875278.22
2023-12,West Texas,WTX-B03,30,22,8131771.7
2023-12,West Texas,WTX-B03,40,24,10057291.77
2023-12,West Texas,WTX-B03,34,23,8533186.67
2023-12,West Texas,WTX-B04,23,17,5931630.48
2023-12,West Texas,WTX-B04,39,29,10302489.8
2023-12,West Texas,WTX-B04,24,19,5923126.78
2023-12,West Texas,WTX-B05,46,29,11857900.04
2023-12,West Texas,WTX-B05,22,12,5701367.8
2023-12,West Texas,WTX-B05,39,23,9943649.69
2023-12,West Texas,WTX-B06,50,38,12547842.27
2023-12,West Texas,WTX-B06,45,34,11639081.06
2023-12,West Texas,WTX-B06,35,24,8927223.66
2023-12,West Texas,WTX-B07,44,26,11073106.07
2023-12,West Texas,WTX-B07,48,26,12051397.5
2023-12,West Texas,WTX-B07,29,23,7494331.46
2023-12,West Texas,WTX-B08,51,40,12717190.36
2023-12,West Texas,WTX-B08,49,27,12047710.47
2023-12,West Texas,WTX-B08,25,14,6350206.67
2023-12,West Texas,WTX-B09,42,27,10339140.46
2023-12,West Texas,WTX-B09,37,23,9289955.48
2023-12,West Texas,WTX-B09,54,34,13584911.66
2023-12,West Texas,WTX-B10,48,35,12108684.37
2023-12,West Texas,WTX-B10,40,33,10340953.72
2023-12,West Texas,WTX-B10,52,34,12715692.38
2024-01,South Texas,SATX-B01,62,50,15320032.07
2024-01,South Texas,SATX-B01,23,17,5426417.78
2024-01,South Texas,SATX-B01,35,22,8671100.31
2024-01,South Texas,SATX-B02,29,17,7006188.43
2024-01,South Texas,SATX-B02,39,25,9823075.0
2024-01,South Texas,SATX-B02,29,24,7408368.59
2024-01,South Texas,SATX-B03,49,40,12166116.37
2024-01,South Texas,SATX-B03,63,37,15415395.96
2024-01,South Texas,SATX-B03,41,30,10411524.01
2024-01,South Texas,SATX-B04,24,14,6014200.89
2024-01,South Texas,SATX-B04,33,25,8103354.04
2024-01,South Texas,SATX-B04,35,29,8702927.83
2024-01,South Texas,SATX-B05,54,40,13253437.6
2024-01,South Texas,SATX-B05,43,26,10620465.89
2024-01,South Texas,SATX-B05,42,30,9990709.98
2024-01,South Texas,SATX-B06,31,25,7790845.06
2024-01,South Texas,SATX-B06,33,26,8147646.79
2024-01,South Texas,SATX-B06,45,32,11640099.48
2024-01,South Texas,SATX-B07,38,25,9257317.64
2024-01,South Texas,SATX-B07,48,33,11634937.42
2024-01,South Texas,SATX-B07,34,27,8560870.32
2024-01,South Texas,SATX-B08,5,3,1215191.07
2024-01,South Texas,SATX-B08,35,26,9042365.05
2024-01,South Texas,SATX-B08,23,18,5835108.93
2024-01,South Texas,SATX-B09,45,36,11649133.29
2024-01,South Texas,SATX-B09,44,35,11251682.47
2024-01,South Texas,SATX-B09,50,36,12967718.24
2024-01,South Texas,SATX-B10,33,26,8376868.4
2024-01,South Texas,SATX-B10,38,24,9544600.96
2024-01,South Texas,SATX-B10,33,26,8380668.26
2024-01,Central Texas,ATX-B01,40,22,10409104.6
2024-01,Central Texas,ATX-B01,48,40,11428073.07
2024-01,Central Texas,ATX-B01,26,19,6655220.74
2024-01,Central Texas,ATX-B02,54,31,13592288.34
2024-01,Central Texas,ATX-B02,42,35,11030024.3
2024-01,Central Texas,ATX-B02,52,43,12400338.39
2024-01,Central Texas,ATX-B03,35,22,8804345.2
2024-01,Central Texas,ATX-B03,36,26,9050296.11
2024-01,Central Texas,ATX-B03,51,28,12128539.74
2024-01,Central Texas,ATX-B04,43,23,10569122.95
2024-01,Central Texas,ATX-B04,55,41,13721069.89
2024-01,Central Texas,ATX-B04,22,18,5428457.25
2024-01,Central Texas,ATX-B05,25,14,5810238.81
2024-01,Central Texas,ATX-B05,46,28,11863329.67
2024-01,Central Texas,ATX-B05,42,31,10310469.58
2024-01,Central Texas,ATX-B06,37,30,8910500.25
2024-01,Central Texas,ATX-B06,58,38,14003480.67
2024-01,Central Texas,ATX-B06,48,29,11920678.21
2024-01,Central Texas,ATX-B07,27,21,7061853.15
2024-01,Central Texas,ATX-B07,45,27,11239587.04
2024-01,Central Texas,ATX-B07,43,33,10907123.11
2024-01,Central Texas,ATX-B08,44,32,11213845.04
2024-01,Central Texas,ATX-B08,41,32,10482553.23
2024-01,Central Texas,ATX-B08,29,17,7238454.17
2024-01,Central Texas,ATX-B09,33,20,8725448.27
2024-01,Central Texas,ATX-B09,32,23,7996342.01
2024-01,Central Texas,ATX-B09,48,30,11749392.39
2024-01,Central Texas,ATX-B10,37,21,9242484.84
2024-01,Central Texas,ATX-B10,35,25,8071313.79
2024-01,Central Texas,ATX-B10,50,40,12062548.42
2024-01,North Texas,DFW-B01,30,18,7488549.27
2024-01,North Texas,DFW-B01,64,48,15988427.22
2024-01,North Texas,DFW-B01,37,23,9257958.21
2024-01,North Texas,DFW-B02,31,20,7759339.74
2024-01,North Texas,DFW-B02,29,20,7184784.73
2024-01,North Texas,DFW-B02,49,29,12494337.44
2024-01,North Texas,DFW-B03,53,29,13642044.68
2024-01,North Texas,DFW-B03,58,47,14666077.54
2024-01,North Texas,DFW-B03,48,31,12243905.97
2024-01,North Texas,DFW-B04,41,32,10561647.71
2024-01,North Texas,DFW-B04,60,42,14669189.85
2024-01,North Texas,DFW-B04,36,20,9058910.23
2024-01,North Texas,DFW-B05,33,26,8122254.14
2024-01,North Texas,DFW-B05,29,22,7127202.81
2024-01,North Texas,DFW-B05,39,27,10418388.35
2024-01,North Texas,DFW-B06,30,25,7680798.18
2024-01,North Texas,DFW-B06,40,24,10038410.02
2024-01,North Texas,DFW-B06,34,19,8557553.83
2024-01,North Texas,DFW-B07,37,29,8756099.11
2024-01,North Texas,DFW-B07,49,33,12592278.15
2024-01,North Texas,DFW-B07,27,22,6433695.03
2024-01,North Texas,DFW-B08,24,18,6384333.52
2024-01,North Texas,DFW-B08,50,41,12484596.61
2024-01,North Texas,DFW-B08,23,16,5644610.61
2024-01,North Texas,DFW-B09,54,41,14096199.46
2024-01,North Texas,DFW-B09,44,36,10758665.18
2024-01,North Texas,DFW-B09,34,28,8317318.44
2024-01,North Texas,DFW-B10,43,30,10649727.45
2024-01,North Texas,DFW-B10,45,30,11116578.84
2024-01,North Texas,DFW-B10,17,12,4281987.18
2024-01,East Texas,HOU-B01,36,30,8677535.07
2024-01,East Texas,HOU-B01,48,31,11521625.83
2024-01,East Texas,HOU-B01,35,29,8847021.09
2024-01,East Texas,HOU-B02,24,13,5947699.97
2024-01,East Texas,HOU-B02,40,26,9589442.49
2024-01,East Texas,HOU-B02,37,23,9615171.33
2024-01,East Texas,HOU-B03,55,33,14124097.57
2024-01,East Texas,HOU-B03,48,33,12469440.35
2024-01,East Texas,HOU-B03,43,31,10897934.33
2024-01,East Texas,HOU-B04,36,21,9109361.14
2024-01,East Texas,HOU-B04,39,27,9738386.66
2024-01,East Texas,HOU-B04,38,31,9185373.72
2024-01,East Texas,HOU-B05,40,22,9360575.78
2024-01,East Texas,HOU-B05,41,33,10398431.44
2024-01,East Texas,HOU-B05,49,34,11114667.89
2024-01,East Texas,HOU-B06,31,17,7850040.73
2024-01,East Texas,HOU-B06,51,31,12325718.38
2024-01,East Texas,HOU-B06,42,28,10281360.25
2024-01,East Texas,HOU-B07,38,28,9566099.59
2024-01,East Texas,HOU-B07,39,28,10375063.07
2024-01,East Texas,HOU-B07,42,23,10853019.88
2024-01,East Texas,HOU-B08,41,30,10397346.93
2024-01,East Texas,HOU-B08,46,30,11079374.19
2024-01,East Texas,HOU-B08,32,23,8075936.85
2024-01,East Texas,HOU-B09,39,31,9852573.87
2024-01,East Texas,HOU-B09,43,33,11243702.45
2024-01,East Texas,HOU-B09,37,23,9535369.8
2024-01,East Texas,HOU-B10,50,38,12727980.12
2024-01,East Texas,HOU-B10,37,29,9657209.22
2024-01,East Texas,HOU-B10,41,22,9912594.82
2024-01,West Texas,WTX-B01,29,19,6915908.2
2024-01,West Texas,WTX-B01,31,21,8135035.33
2024-01,West Texas,WTX-B01,33,20,7900704.29
2024-01,West Texas,WTX-B02,41,30,10020361.99
2024-01,West Texas,WTX-B02,33,21,8844643.05
2024-01,West Texas,WTX-B02,40,27,10360357.45
2024-01,West Texas,WTX-B03,26,18,6157757.06
2024-01,West Texas,WTX-B03,63,49,16115476.31
2024-01,West Texas,WTX-B03,45,37,11557229.6
2024-01,West Texas,WTX-B04,37,30,9366057.02
2024-01,West Texas,WTX-B04,32,22,7928147.18
2024-01,West Texas,WTX-B04,31,19,7505900.45
2024-01,West Texas,WTX-B05,41,26,10706576.75
2024-01,West Texas,WTX-B05,55,34,14090156.6
2024-01,West Texas,WTX-B05,30,18,7446088.04
2024-01,West Texas,WTX-B06,30,21,7632248.95
2024-01,West Texas,WTX-B06,33,23,8334422.43
2024-01,West Texas,WTX-B06,53,37,13218138.87
2024-01,West Texas,WTX-B07,41,34,10109154.98
2024-01,West Texas,WTX-B07,52,42,13159732.17
2024-01,West Texas,WTX-B07,32,23,7830297.37
2024-01,West Texas,WTX-B08,51,41,12627231.16
2024-01,West Texas,WTX-B08,27,21,6600332.48
2024-01,West Texas,WTX-B08,48,32,11784787.91
2024-01,West Texas,WTX-B09,33,24,8323654.46
2024-01,West Texas,WTX-B09,62,37,14886040.81
2024-01,West Texas,WTX-B09,46,28,11652278.07
2024-01,West Texas,WTX-B10,52,37,13675332.97
2024-01,West Texas,WTX-B10,34,24,8127413.59
2024-01,West Texas,WTX-B10,43,25,10749283.17
2024-02,South Texas,SATX-B01,31,21,8156500.97
2024-02,South Texas,SATX-B01,49,41,12682787.26
2024-02,South Texas,SATX-B01,45,28,11836222.78
2024-02,South Texas,SATX-B02,28,18,6840669.11
2024-02,South Texas,SATX-B02,40,22,9753608.57
2024-02,South Texas,SATX-B02,33,23,8435162.49
2024-02,South Texas,SATX-B03,43,30,11036733.96
2024-02,South Texas,SATX-B03,28,21,6723703.15
2024-02,South Texas,SATX-B03,56,38,14187720.52
2024-02,South Texas,SATX-B04,40,33,9782116.07
2024-02,South Texas,SATX-B04,45,27,10918557.51
2024-02,South Texas,SATX-B04,30,20,7519506.44
2024-02,South Texas,SATX-B05,32,23,8316439.85
2024-02,South Texas,SATX-B05,34,20,8117256.82
2024-02,South Texas,SATX-B05,52,36,13058954.24
2024-02,South Texas,SATX-B06,32,24,8057687.74
2024-02,South Texas,SATX-B06,41,32,10199989.89
2024-02,South Texas,SATX-B06,29,19,7043578.9
2024-02,South Texas,SATX-B07,21,14,5335342.54
2024-02,South Texas,SATX-B07,61,42,14697850.93
2024-02,South Texas,SATX-B07,39,33,10011609.12
2024-02,South Texas,SATX-B08,36,29,9133624.02
2024-02,South Texas,SATX-B08,40,26,9968355.31
2024-02,South Texas,SATX-B08,45,28,11465853.88
2024-02,South Texas,SATX-B09,38,22,9270253.47
2024-02,South Texas,SATX-B09,29,24,7554631.9
2024-02,South Texas,SATX-B09,50,29,12689879.29
2024-02,South Texas,SATX-B10,64,49,15846328.17
2024-02,South Texas,SATX-B10,40,26,9580212.41
2024-02,South Texas,SATX-B10,36,20,8714213.78
2024-02,Central Texas,ATX-B01,40,33,10169501.68
2024-02,Central Texas,ATX-B01,21,14,5141383.04
2024-02,Central Texas,ATX-B01,30,22,7465418.99
2024-02,Central Texas,ATX-B02,45,33,10788300.5
2024-02,Central Texas,ATX-B02,37,20,9691254.94
2024-02,Central Texas,ATX-B02,34,19,8388226.73
2024-02,Central Texas,ATX-B03,33,25,8170148.0
2024-02,Central Texas,ATX-B03,40,33,9766805.86
2024-02,Central Texas,ATX-B03,44,28,11419107.49
2024-02,Central Texas,ATX-B04,44,29,11805616.09
2024-02,Central Texas,ATX-B04,26,17,6453248.8
2024-02,Central Texas,ATX-B04,52,40,12868273.59
2024-02,Central Texas,ATX-B05,34,18,7795236.5
2024-02,Central Texas,ATX-B05,48,28,11694166.97
2024-02,Central Texas,ATX-B05,25,13,6286671.98
2024-02,Central Texas,ATX-B06,30,21,7492574.64
2024-02,Central Texas,ATX-B06,51,29,12685319.93
2024-02,Central Texas,ATX-B06,28,18,6991020.17
2024-02,Central Texas,ATX-B07,38,25,10020359.38
2024-02,Central Texas,ATX-B07,31,24,7185459.37
2024-02,Central Texas,ATX-B07,33,24,8524534.84
2024-02,Central Texas,ATX-B08,24,19,5921909.17
2024-02,Central Texas,ATX-B08,61,45,14954411.12
2024-02,Central Texas,ATX-B08,42,30,10768631.75
2024-02,Central Texas,ATX-B09,40,23,9758906.28
2024-02,Central Texas,ATX-B09,40,30,10551081.15
2024-02,Central Texas,ATX-B09,36,20,9053187.93
2024-02,Central Texas,ATX-B10,31,19,8072105.21
2024-02,Central Texas,ATX-B10,52,38,12726731.98
2024-02,Central Texas,ATX-B10,35,20,8627905.02
2024-02,North Texas,DFW-B01,51,32,13043332.95
