month,region,bucket,delinquency_rate_pct
2023-12,North Texas,90+,0.18
2023-12,North Texas,30+,1.8
2023-12,North Texas,60+,0.56
2023-12,North Texas,90+,0.33
2023-12,North Texas,30+,1.01
2023-12,North Texas,60+,0.38
2023-12,North Texas,90+,0.2
2023-12,North Texas,30+,1.04
2023-12,North Texas,60+,0.39
2023-12,North Texas,90+,0.16
2023-12,North Texas,30+,1.07
2023-12,North Texas,60+,0.32
2023-12,North Texas,90+,0.19
2023-12,North Texas,30+,1.01
2023-12,North Texas,60+,0.37
2023-12,North Texas,90+,0.13
2023-12,North Texas,30+,1.03
2023-12,North Texas,60+,0.29
2023-12,North Texas,90+,0.15
2023-12,North Texas,30+,1.02
2023-12,North Texas,60+,0.33
2023-12,North Texas,90+,0.17
2023-12,North Texas,30+,1.33
2023-12,North Texas,60+,0.48
2023-12,North Texas,90+,0.18
2023-12,North Texas,30+,1.12
2023-12,North Texas,60+,0.39
2023-12,North Texas,90+,0.17
2023-12,North Texas,30+,1.43
2023-12,North Texas,60+,0.42
2023-12,North Texas,90+,0.25
2023-12,North Texas,30+,1.11
2023-12,North Texas,60+,0.35
2023-12,North Texas,90+,0.19
2023-12,North Texas,30+,1.13
2023-12,North Texas,60+,0.34
2023-12,North Texas,90+,0.15
2023-12,North Texas,30+,1.25
2023-12,North Texas,60+,0.41
2023-12,North Texas,90+,0.17
2023-12,North Texas,30+,1.19
2023-12,North Texas,60+,0.34
2023-12,North Texas,90+,0.18
2023-12,North Texas,30+,1.43
2023-12,North Texas,60+,0.52
2023-12,North Texas,90+,0.17
2023-12,North Texas,30+,1.49
2023-12,North Texas,60+,0.56
2023-12,North Texas,90+,0.22
2023-12,East Texas,30+,0.97
2023-12,East Texas,60+,0.31
2023-12,East Texas,90+,0.18
2023-12,East Texas,30+,1.4
2023-12,East Texas,60+,0.5
2023-12,East Texas,90+,0.28
2023-12,East Texas,30+,1.32
2023-12,East Texas,60+,0.38
2023-12,East Texas,90+,0.26
2023-12,East Texas,30+,2.08
2023-12,East Texas,60+,0.7
2023-12,East Texas,90+,0.37
2023-12,East Texas,30+,1.79
2023-12,East Texas,60+,0.67
2023-12,East Texas,90+,0.24
2023-12,East Texas,30+,0.95
2023-12,East Texas,60+,0.29
2023-12,East Texas,90+,0.13
2023-12,East Texas,30+,1.45
2023-12,East Texas,60+,0.48
2023-12,East Texas,90+,0.22
2023-12,East Texas,30+,1.39
2023-12,East Texas,60+,0.39
2023-12,East Texas,90+,0.27
2023-12,East Texas,30+,1.64
2023-12,East Texas,60+,0.5
2023-12,East Texas,90+,0.23
2023-12,East Texas,30+,1.91
2023-12,East Texas,60+,0.63
2023-12,East Texas,90+,0.29
2023-12,East Texas,30+,1.73
2023-12,East Texas,60+,0.57
2023-12,East Texas,90+,0.3
2023-12,East Texas,30+,1.36
2023-12,East Texas,60+,0.41
2023-12,East Texas,90+,0.22
2023-12,East Texas,30+,1.58
2023-12,East Texas,60+,0.57
2023-12,East Texas,90+,0.29
2023-12,East Texas,30+,1.01
2023-12,East Texas,60+,0.32
2023-12,East Texas,90+,0.18
2023-12,East Texas,30+,1.55
2023-12,East Texas,60+,0.46
2023-12,East Texas,90+,0.27
2023-12,East Texas,30+,1.65
2023-12,East Texas,60+,0.48
2023-12,East Texas,90+,0.31
2023-12,East Texas,30+,0.91
2023-12,East Texas,60+,0.26
2023-12,East Texas,90+,0.14
2023-12,East Texas,30+,1.6
2023-12,East Texas,60+,0.59
2023-12,East Texas,90+,0.19
2023-12,East Texas,30+,1.7
2023-12,East Texas,60+,0.54
2023-12,East Texas,90+,0.26
2023-12,East Texas,30+,1.5
2023-12,East Texas,60+,0.51
2023-12,East Texas,90+,0.24
2023-12,West Texas,30+,1.79
2023-12,West Texas,60+,0.52
2023-12,West Texas,90+,0.24
2023-12,West Texas,30+,1.66
2023-12,West Texas,60+,0.52
2023-12,West Texas,90+,0.31
2023-12,West Texas,30+,1.75
2023-12,West Texas,60+,0.5
2023-12,West Texas,90+,0.34
2023-12,West Texas,30+,1.52
2023-12,West Texas,60+,0.51
2023-12,West Texas,90+,0.26
2023-12,West Texas,30+,1.92
2023-12,West Texas,60+,0.57
2023-12,West Texas,90+,0.24
2023-12,West Texas,30+,1.46
2023-12,West Texas,60+,0.47
2023-12,West Texas,90+,0.28
2023-12,West Texas,30+,1.64
2023-12,West Texas,60+,0.55
2023-12,West Texas,90+,0.21
2023-12,West Texas,30+,2.02
2023-12,West Texas,60+,0.73
2023-12,West Texas,90+,0.37
2023-12,West Texas,30+,1.5
2023-12,West Texas,60+,0.56
2023-12,West Texas,90+,0.28
2023-12,West Texas,30+,2.13
2023-12,West Texas,60+,0.73
2023-12,West Texas,90+,0.32
2023-12,West Texas,30+,1.91
2023-12,West Texas,60+,0.61
2023-12,West Texas,90+,0.28
2023-12,West Texas,30+,2.08
2023-12,West Texas,60+,0.67
2023-12,West Texas,90+,0.35
2023-12,West Texas,30+,1.21
2023-12,West Texas,60+,0.43
2023-12,West Texas,90+,0.2
2023-12,West Texas,30+,1.49
2023-12,West Texas,60+,0.43
2023-12,West Texas,90+,0.22
2023-12,West Texas,30+,1.69
2023-12,West Texas,60+,0.53
2023-12,West Texas,90+,0.33
2023-12,West Texas,30+,1.73
2023-12,West Texas,60+,0.5
2023-12,West Texas,90+,0.34
2023-12,West Texas,30+,1.12
2023-12,West Texas,60+,0.37
2023-12,West Texas,90+,0.21
2023-12,West Texas,30+,1.38
2023-12,West Texas,60+,0.5
2023-12,West Texas,90+,0.21
2023-12,West Texas,30+,1.33
2023-12,West Texas,60+,0.38
2023-12,West Texas,90+,0.23
2023-12,West Texas,30+,1.55
2023-12,West Texas,60+,0.44
2023-12,West Texas,90+,0.28
2024-01,South Texas,30+,1.07
2024-01,South Texas,60+,0.36
2024-01,South Texas,90+,0.14
2024-01,South Texas,30+,1.46
2024-01,South Texas,60+,0.47
2024-01,South Texas,90+,0.27
2024-01,South Texas,30+,1.12
2024-01,South Texas,60+,0.4
2024-01,South Texas,90+,0.15
2024-01,South Texas,30+,1.38
2024-01,South Texas,60+,0.49
2024-01,South Texas,90+,0.22
2024-01,South Texas,30+,1.71
2024-01,South Texas,60+,0.6
2024-01,South Texas,90+,0.21
2024-01,South Texas,30+,1.38
2024-01,South Texas,60+,0.43
2024-01,South Texas,90+,0.26
2024-01,South Texas,30+,1.43
2024-01,South Texas,60+,0.5
2024-01,South Texas,90+,0.24
2024-01,South Texas,30+,1.33
2024-01,South Texas,60+,0.47
2024-01,South Texas,90+,0.24
2024-01,South Texas,30+,1.65
2024-01,South Texas,60+,0.57
2024-01,South Texas,90+,0.25
2024-01,South Texas,30+,1.55
2024-01,South Texas,60+,0.51
2024-01,South Texas,90+,0.28
2024-01,South Texas,30+,1.32
2024-01,South Texas,60+,0.42
2024-01,South Texas,90+,0.26
2024-01,South Texas,30+,1.57
2024-01,South Texas,60+,0.53
2024-01,South Texas,90+,0.21
2024-01,South Texas,30+,1.55
2024-01,South Texas,60+,0.47
2024-01,South Texas,90+,0.3
2024-01,South Texas,30+,1.6
2024-01,South Texas,60+,0.53
2024-01,South Texas,90+,0.31
2024-01,South Texas,30+,1.3
2024-01,South Texas,60+,0.43
2024-01,South Texas,90+,0.18
2024-01,South Texas,30+,1.37
2024-01,South Texas,60+,0.48
2024-01,South Texas,90+,0.27
2024-01,South Texas,30+,1.59
2024-01,South Texas,60+,0.52
2024-01,South Texas,90+,0.29
2024-01,South Texas,30+,1.5
2024-01,South Texas,60+,0.55
2024-01,South Texas,90+,0.27
2024-01,South Texas,30+,2.0
2024-01,South Texas,60+,0.7
2024-01,South Texas,90+,0.28
2024-01,South Texas,30+,1.45
2024-01,South Texas,60+,0.52
2024-01,South Texas,90+,0.28
2024-01,Central Texas,30+,1.83
2024-01,Central Texas,60+,0.65
2024-01,Central Texas,90+,0.32
2024-01,Central Texas,30+,1.29
2024-01,Central Texas,60+,0.43
2024-01,Central Texas,90+,0.25
2024-01,Central Texas,30+,1.19
2024-01,Central Texas,60+,0.43
2024-01,Central Texas,90+,0.21
2024-01,Central Texas,30+,1.35
2024-01,Central Texas,60+,0.49
2024-01,Central Texas,90+,0.18
2024-01,Central Texas,30+,1.45
2024-01,Central Texas,60+,0.53
2024-01,Central Texas,90+,0.26
2024-01,Central Texas,30+,1.27
2024-01,Central Texas,60+,0.37
2024-01,Central Texas,90+,0.22
2024-01,Central Texas,30+,1.32
2024-01,Central Texas,60+,0.42
2024-01,Central Texas,90+,0.21
2024-01,Central Texas,30+,1.6
2024-01,Central Texas,60+,0.46
2024-01,Central Texas,90+,0.31
2024-01,Central Texas,30+,1.74
2024-01,Central Texas,60+,0.52
2024-01,Central Texas,90+,0.3
2024-01,Central Texas,30+,1.49
2024-01,Central Texas,60+,0.52
2024-01,Central Texas,90+,0.29
2024-01,Central Texas,30+,0.97
2024-01,Central Texas,60+,0.28
2024-01,Central Texas,90+,0.17
2024-01,Central Texas,30+,1.72
2024-01,Central Texas,60+,0.54
2024-01,Central Texas,90+,0.27
2024-01,Central Texas,30+,1.52
2024-01,Central Texas,60+,0.55
2024-01,Central Texas,90+,0.24
2024-01,Central Texas,30+,1.43
2024-01,Central Texas,60+,0.46
2024-01,Central Texas,90+,0.2
2024-01,Central Texas,30+,1.15
2024-01,Central Texas,60+,0.44
2024-01,Central Texas,90+,0.19
2024-01,Central Texas,30+,1.3
2024-01,Central Texas,60+,0.38
2024-01,Central Texas,90+,0.19
2024-01,Central Texas,30+,1.79
2024-01,Central Texas,60+,0.51
2024-01,Central Texas,90+,0.35
2024-01,Central Texas,30+,1.97
2024-01,Central Texas,60+,0.61
2024-01,Central Texas,90+,0.24
2024-01,Central Texas,30+,1.4
2024-01,Central Texas,60+,0.41
2024-01,Central Texas,90+,0.17
2024-01,Central Texas,30+,1.18
2024-01,Central Texas,60+,0.37
2024-01,Central Texas,90+,0.2
2024-01,North Texas,30+,1.18
2024-01,North Texas,60+,0.38
2024-01,North Texas,90+,0.16
2024-01,North Texas,30+,1.09
2024-01,North Texas,60+,0.36
2024-01,North Texas,90+,0.14
2024-01,North Texas,30+,1.27
2024-01,North Texas,60+,0.39
2024-01,North Texas,90+,0.16
2024-01,North Texas,30+,1.11
2024-01,North Texas,60+,0.36
2024-01,North Texas,90+,0.21
2024-01,North Texas,30+,1.47
2024-01,North Texas,60+,0.54
2024-01,North Texas,90+,0.29
2024-01,North Texas,30+,1.41
2024-01,North Texas,60+,0.5
2024-01,North Texas,90+,0.24
2024-01,North Texas,30+,0.99
2024-01,North Texas,60+,0.34
2024-01,North Texas,90+,0.2
2024-01,North Texas,30+,1.15
2024-01,North Texas,60+,0.38
2024-01,North Texas,90+,0.2
2024-01,North Texas,30+,0.56
2024-01,North Texas,60+,0.18
2024-01,North Texas,90+,0.09
2024-01,North Texas,30+,1.22
2024-01,North Texas,60+,0.39
2024-01,North Texas,90+,0.22
2024-01,North Texas,30+,1.35
2024-01,North Texas,60+,0.42
2024-01,North Texas,90+,0.2
2024-01,North Texas,30+,1.21
2024-01,North Texas,60+,0.43
2024-01,North Texas,90+,0.17
2024-01,North Texas,30+,1.23
2024-01,North Texas,60+,0.43
2024-01,North Texas,90+,0.18
2024-01,North Texas,30+,1.14
2024-01,North Texas,60+,0.39
2024-01,North Texas,90+,0.2
2024-01,North Texas,30+,1.39
2024-01,North Texas,60+,0.45
2024-01,North Texas,90+,0.19
2024-01,North Texas,30+,1.34
2024-01,North Texas,60+,0.42
2024-01,North Texas,90+,0.21
2024-01,North Texas,30+,1.53
2024-01,North Texas,60+,0.53
2024-01,North Texas,90+,0.27
2024-01,North Texas,30+,1.09
2024-01,North Texas,60+,0.39
2024-01,North Texas,90+,0.2
2024-01,North Texas,30+,1.11
2024-01,North Texas,60+,0.42
2024-01,North Texas,90+,0.18
2024-01,North Texas,30+,1.73
2024-01,North Texas,60+,0.52
2024-01,North Texas,90+,0.25
2024-01,East Texas,30+,1.64
2024-01,East Texas,60+,0.49
2024-01,East Texas,90+,0.21
2024-01,East Texas,30+,1.57
2024-01,East Texas,60+,0.58
2024-01,East Texas,90+,0.3
2024-01,East Texas,30+,1.32
2024-01,East Texas,60+,0.46
2024-01,East Texas,90+,0.19
2024-01,East Texas,30+,1.16
2024-01,East Texas,60+,0.43
2024-01,East Texas,90+,0.15
2024-01,East Texas,30+,1.36
2024-01,East Texas,60+,0.39
2024-01,East Texas,90+,0.25
2024-01,East Texas,30+,1.43
2024-01,East Texas,60+,0.42
2024-01,East Texas,90+,0.28
2024-01,East Texas,30+,1.88
2024-01,East Texas,60+,0.57
2024-01,East Texas,90+,0.26
2024-01,East Texas,30+,1.24
2024-01,East Texas,60+,0.42
2024-01,East Texas,90+,0.2
2024-01,East Texas,30+,1.7
2024-01,East Texas,60+,0.59
2024-01,East Texas,90+,0.27
2024-01,East Texas,30+,1.71
2024-01,East Texas,60+,0.63
2024-01,East Texas,90+,0.29
