month,region,share_dda,share_sav,share_mma,share_cd,share_inv
2024-11,Central Texas,0.335,0.491,0.102,0.039,0.033
2024-11,Central Texas,0.175,0.316,0.242,0.023,0.244
2024-11,Central Texas,0.211,0.169,0.425,0.103,0.091
2024-11,North Texas,0.374,0.274,0.115,0.012,0.224
2024-11,North Texas,0.251,0.2,0.449,0.088,0.013
2024-11,North Texas,0.153,0.373,0.257,0.015,0.202
2024-11,North Texas,0.26,0.188,0.073,0.424,0.055
2024-11,North Texas,0.435,0.1,0.153,0.115,0.197
2024-11,North Texas,0.145,0.308,0.379,0.124,0.044
2024-11,North Texas,0.366,0.124,0.093,0.356,0.062
2024-11,North Texas,0.256,0.312,0.262,0.159,0.011
2024-11,North Texas,0.177,0.566,0.078,0.159,0.019
2024-11,North Texas,0.318,0.22,0.213,0.155,0.094
2024-11,North Texas,0.309,0.293,0.165,0.091,0.142
2024-11,North Texas,0.444,0.218,0.095,0.169,0.074
2024-11,North Texas,0.679,0.135,0.149,0.018,0.02
2024-11,North Texas,0.376,0.423,0.038,0.154,0.008
2024-11,North Texas,0.561,0.261,0.069,0.052,0.057
2024-11,North Texas,0.471,0.198,0.07,0.252,0.009
2024-11,North Texas,0.19,0.328,0.322,0.025,0.135
2024-11,North Texas,0.326,0.255,0.134,0.258,0.028
2024-11,North Texas,0.416,0.223,0.125,0.187,0.049
2024-11,North Texas,0.569,0.078,0.184,0.156,0.013
2024-11,North Texas,0.159,0.48,0.092,0.096,0.174
2024-11,North Texas,0.28,0.334,0.147,0.137,0.103
2024-11,North Texas,0.115,0.437,0.217,0.15,0.081
2024-11,North Texas,0.275,0.119,0.065,0.468,0.073
2024-11,North Texas,0.284,0.453,0.091,0.122,0.05
2024-11,North Texas,0.369,0.282,0.171,0.043,0.136
2024-11,North Texas,0.427,0.135,0.134,0.2,0.104
2024-11,North Texas,0.117,0.418,0.1,0.088,0.277
2024-11,North Texas,0.436,0.22,0.067,0.022,0.254
2024-11,North Texas,0.395,0.225,0.344,0.033,0.004
2024-11,North Texas,0.481,0.19,0.156,0.112,0.061
2024-11,North Texas,0.569,0.092,0.119,0.045,0.175
2024-11,North Texas,0.317,0.348,0.234,0.058,0.044
2024-11,North Texas,0.326,0.157,0.104,0.069,0.344
2024-11,North Texas,0.445,0.077,0.296,0.147,0.034
2024-11,North Texas,0.326,0.124,0.143,0.342,0.066
2024-11,North Texas,0.095,0.372,0.12,0.232,0.181
2024-11,North Texas,0.467,0.188,0.09,0.2,0.054
2024-11,North Texas,0.384,0.138,0.08,0.146,0.253
2024-11,North Texas,0.67,0.154,0.059,0.098,0.019
2024-11,East Texas,0.103,0.37,0.227,0.262,0.038
2024-11,East Texas,0.25,0.197,0.142,0.385,0.025
2024-11,East Texas,0.684,0.083,0.01,0.09,0.133
2024-11,East Texas,0.314,0.317,0.248,0.114,0.008
2024-11,East Texas,0.226,0.425,0.098,0.205,0.046
2024-11,East Texas,0.204,0.037,0.158,0.484,0.118
2024-11,East Texas,0.325,0.374,0.049,0.042,0.21
2024-11,East Texas,0.457,0.306,0.104,0.071,0.062
2024-11,East Texas,0.316,0.284,0.194,0.095,0.111
2024-11,East Texas,0.114,0.261,0.19,0.139,0.297
2024-11,East Texas,0.468,0.194,0.103,0.131,0.103
2024-11,East Texas,0.462,0.165,0.14,0.068,0.165
2024-11,East Texas,0.475,0.376,0.057,0.025,0.066
2024-11,East Texas,0.309,0.064,0.211,0.228,0.188
2024-11,East Texas,0.441,0.178,0.098,0.128,0.154
2024-11,East Texas,0.27,0.255,0.197,0.215,0.062
2024-11,East Texas,0.628,0.142,0.053,0.122,0.054
2024-11,East Texas,0.384,0.274,0.173,0.088,0.082
2024-11,East Texas,0.277,0.262,0.202,0.099,0.16
2024-11,East Texas,0.121,0.265,0.186,0.144,0.284
2024-11,East Texas,0.43,0.221,0.249,0.089,0.01
2024-11,East Texas,0.368,0.376,0.048,0.207,0.001
2024-11,East Texas,0.217,0.21,0.148,0.26,0.165
2024-11,East Texas,0.3,0.107,0.317,0.214,0.062
2024-11,East Texas,0.267,0.111,0.168,0.324,0.13
2024-11,East Texas,0.308,0.142,0.203,0.064,0.283
2024-11,East Texas,0.566,0.059,0.18,0.15,0.045
2024-11,East Texas,0.331,0.301,0.125,0.163,0.079
2024-11,East Texas,0.187,0.193,0.287,0.203,0.13
2024-11,East Texas,0.231,0.529,0.111,0.098,0.031
2024-11,East Texas,0.306,0.114,0.255,0.323,0.003
2024-11,East Texas,0.537,0.129,0.196,0.045,0.094
2024-11,East Texas,0.211,0.33,0.164,0.236,0.059
2024-11,East Texas,0.204,0.327,0.17,0.247,0.052
2024-11,East Texas,0.204,0.258,0.138,0.319,0.081
2024-11,East Texas,0.347,0.078,0.375,0.141,0.059
2024-11,East Texas,0.249,0.263,0.131,0.335,0.022
2024-11,East Texas,0.062,0.466,0.035,0.275,0.162
2024-11,East Texas,0.096,0.157,0.125,0.519,0.102
2024-11,East Texas,0.481,0.121,0.205,0.111,0.081
2024-11,West Texas,0.51,0.121,0.172,0.102,0.096
2024-11,West Texas,0.173,0.094,0.154,0.18,0.399
2024-11,West Texas,0.433,0.408,0.079,0.074,0.006
2024-11,West Texas,0.373,0.229,0.13,0.059,0.208
2024-11,West Texas,0.385,0.395,0.03,0.091,0.099
2024-11,West Texas,0.236,0.29,0.324,0.12,0.031
2024-11,West Texas,0.115,0.338,0.334,0.213,0.0
2024-11,West Texas,0.446,0.229,0.195,0.075,0.055
2024-11,West Texas,0.443,0.198,0.072,0.268,0.018
2024-11,West Texas,0.549,0.09,0.216,0.103,0.043
2024-11,West Texas,0.238,0.209,0.174,0.217,0.162
2024-11,West Texas,0.14,0.46,0.129,0.191,0.08
2024-11,West Texas,0.567,0.127,0.17,0.104,0.032
2024-11,West Texas,0.415,0.195,0.061,0.254,0.074
2024-11,West Texas,0.362,0.244,0.087,0.285,0.023
2024-11,West Texas,0.326,0.164,0.252,0.233,0.025
2024-11,West Texas,0.426,0.37,0.087,0.09,0.027
2024-11,West Texas,0.374,0.19,0.166,0.185,0.086
2024-11,West Texas,0.151,0.391,0.116,0.17,0.171
2024-11,West Texas,0.268,0.308,0.283,0.081,0.06
2024-11,West Texas,0.594,0.169,0.112,0.112,0.012
2024-11,West Texas,0.35,0.219,0.133,0.109,0.189
2024-11,West Texas,0.077,0.454,0.077,0.342,0.049
2024-11,West Texas,0.265,0.222,0.091,0.252,0.17
2024-11,West Texas,0.24,0.398,0.185,0.165,0.012
2024-11,West Texas,0.61,0.198,0.015,0.121,0.056
2024-11,West Texas,0.373,0.123,0.375,0.071,0.058
2024-11,West Texas,0.434,0.377,0.027,0.141,0.021
2024-11,West Texas,0.326,0.172,0.179,0.206,0.118
2024-11,West Texas,0.529,0.022,0.322,0.098,0.028
2024-11,West Texas,0.183,0.217,0.296,0.11,0.194
2024-11,West Texas,0.334,0.212,0.09,0.261,0.103
2024-11,West Texas,0.33,0.08,0.185,0.232,0.173
2024-11,West Texas,0.204,0.152,0.109,0.523,0.011
2024-11,West Texas,0.154,0.081,0.28,0.334,0.151
2024-11,West Texas,0.127,0.626,0.142,0.07,0.034
2024-11,West Texas,0.258,0.397,0.132,0.191,0.022
2024-11,West Texas,0.585,0.163,0.17,0.026,0.056
2024-11,West Texas,0.659,0.229,0.056,0.036,0.021
2024-11,West Texas,0.399,0.094,0.283,0.077,0.148
2024-12,South Texas,0.198,0.331,0.14,0.233,0.098
2024-12,South Texas,0.247,0.222,0.012,0.515,0.003
2024-12,South Texas,0.423,0.219,0.162,0.178,0.017
2024-12,South Texas,0.272,0.412,0.161,0.151,0.004
2024-12,South Texas,0.311,0.396,0.232,0.042,0.02
2024-12,South Texas,0.508,0.065,0.328,0.078,0.021
2024-12,South Texas,0.53,0.183,0.128,0.095,0.063
2024-12,South Texas,0.448,0.296,0.13,0.046,0.079
2024-12,South Texas,0.436,0.236,0.062,0.148,0.118
2024-12,South Texas,0.405,0.436,0.054,0.1,0.006
2024-12,South Texas,0.367,0.157,0.1,0.36,0.017
2024-12,South Texas,0.332,0.282,0.259,0.095,0.031
2024-12,South Texas,0.195,0.383,0.255,0.154,0.013
2024-12,South Texas,0.235,0.257,0.434,0.061,0.013
2024-12,South Texas,0.498,0.201,0.078,0.199,0.023
2024-12,South Texas,0.453,0.221,0.097,0.091,0.138
2024-12,South Texas,0.308,0.305,0.076,0.152,0.158
2024-12,South Texas,0.155,0.319,0.057,0.356,0.113
2024-12,South Texas,0.103,0.257,0.404,0.168,0.068
2024-12,South Texas,0.244,0.424,0.13,0.183,0.02
2024-12,South Texas,0.27,0.237,0.113,0.307,0.073
2024-12,South Texas,0.264,0.258,0.285,0.088,0.105
2024-12,South Texas,0.303,0.312,0.094,0.282,0.009
2024-12,South Texas,0.176,0.262,0.228,0.227,0.107
2024-12,South Texas,0.519,0.268,0.037,0.04,0.136
2024-12,South Texas,0.213,0.176,0.093,0.465,0.053
2024-12,South Texas,0.432,0.306,0.111,0.123,0.028
2024-12,South Texas,0.412,0.38,0.01,0.146,0.052
2024-12,South Texas,0.469,0.188,0.074,0.106,0.162
2024-12,South Texas,0.335,0.212,0.322,0.096,0.035
2024-12,South Texas,0.568,0.156,0.145,0.092,0.04
2024-12,South Texas,0.345,0.173,0.377,0.047,0.059
2024-12,South Texas,0.217,0.18,0.372,0.135,0.096
2024-12,South Texas,0.395,0.34,0.044,0.17,0.05
2024-12,South Texas,0.216,0.317,0.287,0.114,0.065
2024-12,South Texas,0.342,0.118,0.166,0.209,0.164
2024-12,South Texas,0.423,0.403,0.037,0.135,0.002
2024-12,South Texas,0.383,0.298,0.166,0.051,0.103
2024-12,South Texas,0.391,0.425,0.087,0.074,0.022
2024-12,South Texas,0.294,0.276,0.3,0.129,0.001
2024-12,Central Texas,0.147,0.295,0.273,0.23,0.056
2024-12,Central Texas,0.43,0.185,0.134,0.174,0.077
2024-12,Central Texas,0.216,0.569,0.093,0.048,0.074
2024-12,Central Texas,0.28,0.146,0.437,0.113,0.023
2024-12,Central Texas,0.31,0.354,0.192,0.102,0.042
2024-12,Central Texas,0.259,0.384,0.078,0.096,0.182
2024-12,Central Texas,0.255,0.08,0.334,0.212,0.12
2024-12,Central Texas,0.386,0.287,0.065,0.181,0.082
2024-12,Central Texas,0.46,0.113,0.04,0.369,0.019
2024-12,Central Texas,0.444,0.223,0.119,0.055,0.159
2024-12,Central Texas,0.234,0.338,0.301,0.055,0.072
2024-12,Central Texas,0.375,0.223,0.137,0.079,0.187
2024-12,Central Texas,0.431,0.287,0.185,0.069,0.029
2024-12,Central Texas,0.507,0.083,0.258,0.117,0.035
2024-12,Central Texas,0.432,0.057,0.291,0.13,0.091
2024-12,Central Texas,0.26,0.194,0.185,0.301,0.059
2024-12,Central Texas,0.29,0.294,0.162,0.159,0.094
2024-12,Central Texas,0.582,0.194,0.045,0.112,0.067
2024-12,Central Texas,0.231,0.313,0.208,0.142,0.106
2024-12,Central Texas,0.364,0.133,0.229,0.267,0.008
2024-12,Central Texas,0.448,0.207,0.113,0.196,0.037
2024-12,Central Texas,0.491,0.302,0.123,0.082,0.002
2024-12,Central Texas,0.251,0.256,0.182,0.193,0.119
2024-12,Central Texas,0.303,0.228,0.297,0.139,0.034
2024-12,Central Texas,0.444,0.144,0.162,0.065,0.185
2024-12,Central Texas,0.187,0.298,0.271,0.206,0.038
2024-12,Central Texas,0.275,0.176,0.274,0.247,0.028
2024-12,Central Texas,0.267,0.132,0.128,0.282,0.19
2024-12,Central Texas,0.312,0.212,0.211,0.176,0.089
2024-12,Central Texas,0.359,0.196,0.211,0.168,0.066
2024-12,Central Texas,0.287,0.447,0.047,0.042,0.178
2024-12,Central Texas,0.276,0.223,0.123,0.375,0.003
2024-12,Central Texas,0.437,0.116,0.259,0.169,0.019
2024-12,Central Texas,0.122,0.513,0.038,0.324,0.002
2024-12,Central Texas,0.222,0.126,0.186,0.276,0.19
2024-12,Central Texas,0.412,0.086,0.077,0.405,0.02
2024-12,Central Texas,0.208,0.397,0.152,0.207,0.037
2024-12,Central Texas,0.133,0.412,0.113,0.227,0.115
2024-12,Central Texas,0.357,0.271,0.088,0.132,0.151
2024-12,Central Texas,0.546,0.124,0.173,0.037,0.12
2024-12,North Texas,0.313,0.159,0.176,0.219,0.133
2024-12,North Texas,0.165,0.51,0.053,0.271,0.001
2024-12,North Texas,0.314,0.253,0.207,0.047,0.179
2024-12,North Texas,0.522,0.069,0.06,0.326,0.023
2024-12,North Texas,0.36,0.135,0.261,0.107,0.137
2024-12,North Texas,0.234,0.269,0.043,0.302,0.151
2024-12,North Texas,0.376,0.359,0.151,0.044,0.069
2024-12,North Texas,0.264,0.27,0.14,0.261,0.066
2024-12,North Texas,0.229,0.353,0.015,0.312,0.091
2024-12,North Texas,0.164,0.495,0.198,0.025,0.118
2024-12,North Texas,0.393,0.135,0.196,0.175,0.1
2024-12,North Texas,0.505,0.384,0.04,0.047,0.023
2024-12,North Texas,0.392,0.41,0.11,0.023,0.065
2024-12,North Texas,0.206,0.396,0.093,0.29,0.015
2024-12,North Texas,0.477,0.294,0.082,0.12,0.027
2024-12,North Texas,0.461,0.28,0.131,0.117,0.011
2024-12,North Texas,0.157,0.056,0.41,0.119,0.259
2024-12,North Texas,0.232,0.091,0.323,0.309,0.045
2024-12,North Texas,0.567,0.195,0.097,0.137,0.004
2024-12,North Texas,0.139,0.259,0.527,0.041,0.034
2024-12,North Texas,0.58,0.114,0.132,0.1,0.074
2024-12,North Texas,0.55,0.154,0.183,0.107,0.007
2024-12,North Texas,0.272,0.509,0.082,0.092,0.045
2024-12,North Texas,0.391,0.214,0.022,0.299,0.074
2024-12,North Texas,0.247,0.435,0.24,0.069,0.01
2024-12,North Texas,0.545,0.147,0.189,0.109,0.011
2024-12,North Texas,0.253,0.231,0.289,0.049,0.178
2024-12,North Texas,0.435,0.133,0.068,0.33,0.034
2024-12,North Texas,0.246,0.268,0.202,0.222,0.061
2024-12,North Texas,0.202,0.435,0.056,0.278,0.03
2024-12,North Texas,0.557,0.162,0.134,0.049,0.097
2024-12,North Texas,0.37,0.126,0.353,0.048,0.103
2024-12,North Texas,0.553,0.222,0.088,0.122,0.015
2024-12,North Texas,0.382,0.143,0.071,0.15,0.254
2024-12,North Texas,0.497,0.01,0.38,0.07,0.042
2024-12,North Texas,0.223,0.3,0.289,0.09,0.098
2024-12,North Texas,0.157,0.212,0.419,0.197,0.014
2024-12,North Texas,0.436,0.208,0.064,0.081,0.211
2024-12,North Texas,0.163,0.517,0.132,0.166,0.021
2024-12,North Texas,0.083,0.342,0.137,0.412,0.026
2024-12,East Texas,0.174,0.368,0.053,0.198,0.207
2024-12,East Texas,0.347,0.039,0.06,0.244,0.31
2024-12,East Texas,0.347,0.404,0.095,0.029,0.124
2024-12,East Texas,0.382,0.243,0.106,0.072,0.197
2024-12,East Texas,0.224,0.23,0.106,0.344,0.096
2024-12,East Texas,0.371,0.239,0.048,0.323,0.02
2024-12,East Texas,0.2,0.074,0.541,0.072,0.113
2024-12,East Texas,0.493,0.14,0.237,0.101,0.029
2024-12,East Texas,0.476,0.21,0.125,0.169,0.02
2024-12,East Texas,0.182,0.131,0.505,0.162,0.019
2024-12,East Texas,0.342,0.118,0.016,0.186,0.339
2024-12,East Texas,0.702,0.194,0.007,0.076,0.022
2024-12,East Texas,0.266,0.307,0.123,0.25,0.054
2024-12,East Texas,0.416,0.039,0.058,0.192,0.295
2024-12,East Texas,0.228,0.372,0.318,0.067,0.014
2024-12,East Texas,0.229,0.381,0.105,0.135,0.151
2024-12,East Texas,0.128,0.594,0.03,0.222,0.026
2024-12,East Texas,0.252,0.378,0.2,0.159,0.011
2024-12,East Texas,0.338,0.179,0.309,0.091,0.083
2024-12,East Texas,0.207,0.343,0.105,0.293,0.052
2024-12,East Texas,0.182,0.322,0.25,0.19,0.055
2024-12,East Texas,0.138,0.163,0.323,0.364,0.011
2024-12,East Texas,0.357,0.199,0.07,0.285,0.089
2024-12,East Texas,0.339,0.137,0.206,0.17,0.149
2024-12,East Texas,0.398,0.134,0.205,0.215,0.049
2024-12,East Texas,0.119,0.148,0.627,0.097,0.01
2024-12,East Texas,0.091,0.494,0.083,0.265,0.067
2024-12,East Texas,0.229,0.119,0.232,0.011,0.409
2024-12,East Texas,0.341,0.079,0.231,0.24,0.109
2024-12,East Texas,0.688,0.115,0.028,0.102,0.066
2024-12,East Texas,0.198,0.496,0.109,0.1,0.098
2024-12,East Texas,0.278,0.339,0.175,0.19,0.017
2024-12,East Texas,0.25,0.373,0.256,0.054,0.068
2024-12,East Texas,0.495,0.162,0.069,0.246,0.028
2024-12,East Texas,0.304,0.321,0.119,0.147,0.11
2024-12,East Texas,0.366,0.171,0.172,0.271,0.02
2024-12,East Texas,0.4,0.199,0.284,0.046,0.071
2024-12,East Texas,0.401,0.299,0.011,0.091,0.197
2024-12,East Texas,0.261,0.337,0.071,0.183,0.146
2024-12,East Texas,0.261,0.529,0.087,0.027,0.096
2024-12,West Texas,0.526,0.206,0.117,0.147,0.004
2024-12,West Texas,0.167,0.271,0.399,0.055,0.108
2024-12,West Texas,0.446,0.219,0.265,0.022,0.047
2024-12,West Texas,0.371,0.307,0.271,0.03,0.021
2024-12,West Texas,0.18,0.48,0.163,0.166,0.011
2024-12,West Texas,0.28,0.144,0.365,0.122,0.089
2024-12,West Texas,0.235,0.252,0.341,0.089,0.083
2024-12,West Texas,0.136,0.36,0.014,0.378,0.112
2024-12,West Texas,0.222,0.457,0.22,0.08,0.021
2024-12,West Texas,0.193,0.147,0.193,0.381,0.087
2024-12,West Texas,0.389,0.241,0.063,0.249,0.059
2024-12,West Texas,0.438,0.256,0.036,0.264,0.006
2024-12,West Texas,0.459,0.32,0.151,0.051,0.019
2024-12,West Texas,0.372,0.295,0.109,0.132,0.092
2024-12,West Texas,0.381,0.227,0.117,0.269,0.006
2024-12,West Texas,0.261,0.363,0.252,0.074,0.05
2024-12,West Texas,0.256,0.339,0.275,0.046,0.083
2024-12,West Texas,0.18,0.076,0.283,0.403,0.057
2024-12,West Texas,0.265,0.227,0.14,0.332,0.036
2024-12,West Texas,0.229,0.13,0.411,0.151,0.08
2024-12,West Texas,0.141,0.091,0.182,0.246,0.341
2024-12,West Texas,0.465,0.13,0.044,0.245,0.116
2024-12,West Texas,0.293,0.311,0.273,0.088,0.034
2024-12,West Texas,0.317,0.223,0.219,0.242,0.0
2024-12,West Texas,0.144,0.538,0.289,0.014,0.016
2024-12,West Texas,0.321,0.148,0.25,0.101,0.18
2024-12,West Texas,0.335,0.238,0.169,0.048,0.211
2024-12,West Texas,0.388,0.191,0.074,0.285,0.062
2024-12,West Texas,0.274,0.198,0.072,0.284,0.171
2024-12,West Texas,0.264,0.286,0.073,0.074,0.303
2024-12,West Texas,0.284,0.281,0.29,0.032,0.114
2024-12,West Texas,0.352,0.295,0.314,0.037,0.002
2024-12,West Texas,0.131,0.363,0.154,0.302,0.049
2024-12,West Texas,0.386,0.085,0.171,0.347,0.012
2024-12,West Texas,0.257,0.202,0.408,0.11,0.023
2024-12,West Texas,0.271,0.354,0.293,0.054,0.028
2024-12,West Texas,0.083,0.247,0.247,0.374,0.049
2024-12,West Texas,0.43,0.057,0.188,0.133,0.191
2024-12,West Texas,0.326,0.239,0.198,0.153,0.083
2024-12,West Texas,0.357,0.353,0.12,0.166,0.004
2025-01,South Texas,0.429,0.362,0.18,0.008,0.022
2025-01,South Texas,0.41,0.316,0.087,0.184,0.004
2025-01,South Texas,0.401,0.294,0.099,0.199,0.008
2025-01,South Texas,0.325,0.402,0.034,0.218,0.021
2025-01,South Texas,0.391,0.465,0.062,0.081,0.001
2025-01,South Texas,0.179,0.422,0.186,0.074,0.138
2025-01,South Texas,0.422,0.302,0.162,0.08,0.033
2025-01,South Texas,0.416,0.042,0.149,0.323,0.07
2025-01,South Texas,0.388,0.049,0.282,0.218,0.062
2025-01,South Texas,0.112,0.266,0.276,0.064,0.283
2025-01,South Texas,0.275,0.127,0.465,0.081,0.052
2025-01,South Texas,0.415,0.09,0.224,0.202,0.069
2025-01,South Texas,0.47,0.216,0.031,0.232,0.051
2025-01,South Texas,0.466,0.126,0.126,0.241,0.042
2025-01,South Texas,0.127,0.305,0.042,0.302,0.224
2025-01,South Texas,0.677,0.057,0.184,0.07,0.012
2025-01,South Texas,0.178,0.154,0.143,0.16,0.366
2025-01,South Texas,0.244,0.292,0.159,0.168,0.138
2025-01,South Texas,0.427,0.308,0.13,0.098,0.037
2025-01,South Texas,0.198,0.252,0.221,0.285,0.044
2025-01,South Texas,0.283,0.074,0.127,0.51,0.006
2025-01,South Texas,0.309,0.194,0.261,0.05,0.186
2025-01,South Texas,0.199,0.579,0.051,0.154,0.017
2025-01,South Texas,0.489,0.335,0.107,0.05,0.019
2025-01,South Texas,0.305,0.4,0.134,0.13,0.031
2025-01,South Texas,0.318,0.266,0.341,0.023,0.052
2025-01,South Texas,0.293,0.236,0.242,0.014,0.214
2025-01,South Texas,0.241,0.387,0.185,0.134,0.054
2025-01,South Texas,0.336,0.22,0.241,0.159,0.043
2025-01,South Texas,0.43,0.334,0.149,0.04,0.048
2025-01,South Texas,0.244,0.19,0.418,0.095,0.053
2025-01,South Texas,0.272,0.254,0.216,0.229,0.029
2025-01,South Texas,0.322,0.347,0.093,0.037,0.202
2025-01,South Texas,0.519,0.204,0.072,0.127,0.078
2025-01,South Texas,0.295,0.268,0.21,0.112,0.115
2025-01,South Texas,0.251,0.337,0.091,0.286,0.036
2025-01,South Texas,0.295,0.379,0.11,0.156,0.059
2025-01,South Texas,0.347,0.24,0.308,0.087,0.018
2025-01,South Texas,0.403,0.068,0.333,0.118,0.078
2025-01,South Texas,0.142,0.052,0.308,0.22,0.279
2025-01,Central Texas,0.258,0.211,0.381,0.143,0.007
2025-01,Central Texas,0.334,0.07,0.065,0.524,0.006
2025-01,Central Texas,0.382,0.313,0.19,0.085,0.03
2025-01,Central Texas,0.353,0.065,0.337,0.088,0.157
2025-01,Central Texas,0.232,0.112,0.184,0.387,0.085
2025-01,Central Texas,0.383,0.332,0.083,0.152,0.05
2025-01,Central Texas,0.414,0.289,0.071,0.19,0.035
2025-01,Central Texas,0.118,0.463,0.122,0.166,0.131
2025-01,Central Texas,0.158,0.217,0.459,0.063,0.103
2025-01,Central Texas,0.355,0.272,0.156,0.207,0.01
2025-01,Central Texas,0.14,0.154,0.37,0.197,0.14
2025-01,Central Texas,0.355,0.162,0.055,0.201,0.227
2025-01,Central Texas,0.346,0.192,0.205,0.163,0.093
2025-01,Central Texas,0.494,0.213,0.086,0.139,0.068
2025-01,Central Texas,0.334,0.263,0.141,0.118,0.145
2025-01,Central Texas,0.209,0.302,0.108,0.221,0.16
2025-01,Central Texas,0.238,0.346,0.203,0.206,0.007
2025-01,Central Texas,0.435,0.324,0.078,0.132,0.031
2025-01,Central Texas,0.68,0.104,0.1,0.073,0.043
2025-01,Central Texas,0.242,0.474,0.066,0.168,0.05
2025-01,Central Texas,0.5,0.22,0.089,0.15,0.041
